id,query,submitted_by,source
1,high protein lunch with ground beef,maverick,handcoded
2,high protein lunch with chicken,maverick,handcoded
3,best meal prep for high protein low calorie burritos,maverick,handcoded
4,what tasty dinner can I make with ground beef and sweet potatoes?,maverick,handcoded
5,what kinda of fruit should I have with my eggs for breakfast,maverick,handcoded
6,what type of ground beef should I use when cooking for a healthy meal?,maverick,handcoded
7,best chicken thigh recipe with species and vegetables on the side,maverick,handcoded
8,"I want to meal prep chicken breast, rice, and a vegetable. What ingredients should I use?",maverick,handcoded
9,what temperature and how long should I cook my chicken breast,maverick,handcoded
10,what drink goes best with my meal?,maverick,handcoded
11,If I am pan searing chicken how long should I cook on each side,maverick,handcoded
12,What macros should I consume daily if I weigh 200 pounds and am 6’4”?,connor,handcoded
13,Quick ways to get protein in throughout the day?,connor,handcoded
14,Best meals that are filling for a cut?,connor,handcoded
15,High-protein dinner with 50g protein,connor,handcoded
16,Meal prep recipes for bulking week,connor,handcoded
17,What can I cook with 2 lbs of ground turkey?,connor,handcoded
18,How to add healthy calories fast?,connor,handcoded
19,Best spice rubs for baked chicken breast,connor,handcoded
20,"No-cheese, high-protein Italian meals",connor,handcoded
21,Microwave-friendly meal prep ideas,connor,handcoded
22,Beef stew for macros and recovery,connor,handcoded
23,Healthy rice alternatives for bulking,connor,handcoded
24,Snack recipes with peanut butter and oats,connor,handcoded
25,Post-workout meal with 3 ingredients,connor,handcoded
26,Best protein packed meal to make under 8$,connor,handcoded
27,What are the cheapest high quality protein snacks from Trader Joe’s or Vons?,connor,handcoded
28,give me the hightest rated grilled steak recipe with no marinade,julie,handcoded
29,give me the most popular oatmeal cookie recipe,julie,handcoded
30,give me a recipe for baked appies using health ingredients,julie,handcoded
31,"i have a frozen ahi tuna, give me a recipe for seared ahi and also for cooked ahi",julie,handcoded
32,"i need to meal prep for 2 people using lean ground beef, quinoa and broccoli, give me the recipe with highest reviews",julie,handcoded
33,"looking for a highly rated, popular meatloaf recipe",julie,handcoded
34,give me a recipe for lasagna that offers substitutions in case I don't have some of the ingredients,julie,handcoded
35,"i want to make pancakes but I don't have buttermilk, give me a recipe that doesn't require buttermilk",julie,handcoded
36,i need a recipe for chocolate chip cookies but I'm out of all purpose flour. give me a recipe that has a substitute,julie,handcoded
37,Give me a Mexican-inspired meal prep recipe using Costco rotisserie chicken that has at least 30g protein per serving and reheats well for 5 days,wayde4,handcoded
38,I need a Korean beef bowl recipe using Trader Joe's bulgogi beef that I can make in under 30 minutes on weeknights,wayde4,handcoded
39,What's a high-protein Japanese teriyaki salmon recipe I can batch cook on Sunday using Costco's frozen salmon and TJ's teriyaki sauce?,wayde4,handcoded
40,Create an American-style turkey chili recipe with 35g+ protein per serving using ground turkey from Costco that freezes well for meal prep,wayde4,handcoded
41,"I want a Mexican breakfast burrito recipe I can make in bulk and freeze using Costco eggs, cheese, and their pre-cooked bacon",wayde4,handcoded
42,Give me a Korean-inspired kimchi fried rice recipe using rotisserie chicken from Costco that's ready in 20 minutes,wayde4,handcoded
43,What's a protein-packed Asian stir-fry I can make with Trader Joe's frozen vegetable blend and their pre-marinated chicken that stores for 4 days?,wayde4,handcoded
44,I need an American BBQ pulled pork recipe using Costco pork shoulder in my slow cooker that I can portion for the week,wayde4,handcoded
45,Create a Mexican-style ground beef bowl recipe with black beans from Costco that has 40g protein and uses their pre-made guacamole,wayde4,handcoded
46,Give me a Japanese-inspired meal prep recipe using Trader Joe's frozen edamame and their miso ginger broth with tofu for 25g+ protein,wayde4,handcoded
